Rank,Name,Number
1,Sophia,21695
2,Isabella,19745
3,Emma,18674
4,Olivia,17169
5,Ava,15383
6,Emily,14164
7,Abigail,13149
8,Madison,12298
9,Mia,11451
10,Chloe,10917
11,Elizabeth,9972
12,Ella,9501
13,Addison,9246
14,Natalie,8593
15,Lily,8112
16,Grace,7560
17,Samantha,7330
18,Avery,7303
19,Sofia,7285
20,Aubrey,7135
21,Brooklyn,7115
22,Lillian,6857
23,Victoria,6832
24,Evelyn,6670
25,Hannah,6497
26,Alexis,6482
27,Charlotte,6365
28,Zoey,6354
29,Leah,6337
30,Amelia,6307
31,Zoe,6234
32,Hailey,6232
33,Layla,6048
34,Gabriella,6040
35,Nevaeh,6030
36,Kaylee,5999
37,Alyssa,5962
38,Anna,5601
39,Sarah,5472
40,Allison,5426
41,Savannah,5406
42,Ashley,5368
43,Audrey,5183
44,Taylor,5157
45,Brianna,5156
46,Aaliyah,5082
47,Riley,5002
48,Camila,4956
49,Khloe,4918
50,Claire,4871
51,Sophie,4690
52,Arianna,4661
53,Peyton,4644
54,Harper,4636
55,Alexa,4478
56,Makayla,4415
57,Julia,4317
58,Kylie,4317
59,Kayla,4291
60,Bella,4236
61,Katherine,4159
62,Lauren,4076
63,Gianna,4041
64,Maya,3977
65,Sydney,3942
66,Serenity,3822
67,Kimberly,3782
68,Mackenzie,3765
69,Autumn,3740
70,Jocelyn,3711
71,Faith,3676
72,Lucy,3672
73,Stella,3667
74,Jasmine,3661
75,Morgan,3640
76,Alexandra,3600
77,Trinity,3591
78,Molly,3588
79,Madelyn,3587
80,Scarlett,3540
81,Andrea,3492
82,Genesis,3487
83,Eva,3436
84,Ariana,3427
85,Madeline,3403
86,Brooke,3354
87,Caroline,3341
88,Bailey,3283
89,Melanie,3272
90,Kennedy,3225
91,Destiny,3222
92,Maria,3183
93,Naomi,3150
94,London,3145
95,Payton,3131
96,Lydia,3051
97,Ellie,3045
98,Mariah,2956
99,Aubree,2915
100,Kaitlyn,2893
,,
Read more at https://names.mongabay.com/baby-names/application/top-F-US-2011.html#6FPdQEYmyLyH9vrF.99,,
